fecha,codigo_art,dias_reaprovisionamiento,ingreso,egreso
2023-04-30,09-10016N,90,0,4
2023-05-02,09-10016N,90,0,8
2023-05-08,09-10016N,90,72,124
2023-05-09,09-10016N,90,284,8
2023-05-10,09-10016N,90,0,100
2023-05-12,09-10016N,90,0,12
2023-05-16,09-10016N,90,40,80
2023-05-18,09-10016N,90,496,100
2023-05-19,09-10016N,90,60,120
2023-05-22,09-10016N,90,12,132
2023-05-24,09-10016N,90,4,156
2023-05-29,09-10016N,90,84,24
2023-05-30,09-10016N,90,40,40
2023-05-31,09-10016N,90,20,100
2023-06-07,09-10016N,90,140,80
2023-06-09,09-10016N,90,340,0
2023-06-12,09-10016N,90,0,60
2023-06-13,09-10016N,90,0,16
2023-06-14,09-10016N,90,0,4
2023-06-15,09-10016N,90,332,28
2023-06-16,09-10016N,90,0,44
2023-06-21,09-10016N,90,40,96
2023-06-22,09-10016N,90,16,60
2023-06-23,09-10016N,90,36,76
2023-06-26,09-10016N,90,0,44
2023-06-27,09-10016N,90,64,132
2023-06-28,09-10016N,90,0,4
2023-06-29,09-10016N,90,0,268
2023-06-30,09-10016N,90,40,176
2023-07-01,09-10016N,90,896,0
2023-07-06,09-10016N,90,8,8
2023-07-07,09-10016N,90,8,8
2023-07-12,09-10016N,90,48,180
2023-07-13,09-10016N,90,68,140
2023-07-14,09-10016N,90,80,180
2023-07-17,09-10016N,90,4,8
2023-07-18,09-10016N,90,0,100
2023-07-19,09-10016N,90,328,0
2023-07-20,09-10016N,90,60,120
2023-07-21,09-10016N,90,176,352
2023-07-24,09-10016N,90,4,4
2023-07-25,09-10016N,90,0,0
2023-07-26,09-10016N,90,0,8
2023-07-28,09-10016N,90,124,368
2023-08-04,09-10016N,90,604,0
2023-08-08,09-10016N,90,0,0
2023-08-09,09-10016N,90,0,100
2023-08-10,09-10016N,90,0,4
2023-08-11,09-10016N,90,324,608
2023-08-14,09-10016N,90,116,224
2023-08-15,09-10016N,90,0,8
2023-08-16,09-10016N,90,4,8
2023-08-18,09-10016N,90,444,20
2023-08-22,09-10016N,90,0,4
2023-08-23,09-10016N,90,4,248
2023-08-24,09-10016N,90,52,76
2023-08-25,09-10016N,90,0,256
2023-08-28,09-10016N,90,64,192
2023-08-29,09-10016N,90,136,324
2023-08-30,09-10016N,90,16,56
2023-08-31,09-10016N,90,8,264
2023-09-01,09-10016N,90,12,12
2023-09-04,09-10016N,90,560,4
2023-09-06,09-10016N,90,444,0
2023-09-11,09-10016N,90,0,8
2023-09-13,09-10016N,90,36,48
2023-09-14,09-10016N,90,0,52
2023-09-19,09-10016N,90,660,0
2023-09-20,09-10016N,90,4,132
2023-09-22,09-10016N,90,8,44
2023-09-26,09-10016N,90,0,184
2023-09-27,09-10016N,90,0,4
2023-09-28,09-10016N,90,188,448
2023-09-29,09-10016N,90,160,480
2023-10-01,09-10016N,90,240,0
2023-10-03,09-10016N,90,0,8
2023-10-04,09-10016N,90,368,0
2023-10-09,09-10016N,90,0,104
2023-10-10,09-10016N,90,0,1260
2023-10-11,09-10016N,90,1252,0
2023-10-12,09-10016N,90,0,40
2023-10-23,09-10016N,90,124,272
2023-10-25,09-10016N,90,20,24
2023-10-26,09-10016N,90,20,52
2023-10-27,09-10016N,90,4,252
2023-10-30,09-10016N,90,28,96
2023-10-31,09-10016N,90,80,204
2023-11-01,09-10016N,90,380,16
2023-11-02,09-10016N,90,4,4
2023-11-07,09-10016N,90,0,16
2023-11-08,09-10016N,90,16,20
2023-11-09,09-10016N,90,0,4
2023-11-10,09-10016N,90,104,208
2023-11-13,09-10016N,90,480,488
2023-11-14,09-10016N,90,48,580
2023-11-15,09-10016N,90,392,4
2023-11-16,09-10016N,90,0,16
2023-11-17,09-10016N,90,0,8
2023-11-23,09-10016N,90,44,76
2023-11-24,09-10016N,90,0,360
2023-11-27,09-10016N,90,8,132
2023-11-28,09-10016N,90,96,216
2023-11-30,09-10016N,90,80,164
2023-12-01,09-10016N,90,0,0
2023-12-07,09-10016N,90,1000,0
2023-12-11,09-10016N,90,0,36
